hexagram_id,line_number,hexagram_name_hanja,hexagram_name_korean,line_name_hanja,line_text_hanja,line_text_korean,modern_advice
3,5,"水雷屯","수뢰둔","九五","九五 屯其膏 小貞吉 大貞凶","구오: 둔기고 소정길 대정흉 - 은혜가 베풀어지지 못하니 작은 일은 길하나 큰 일은 흉하다","아직 영향력을 대범하게 펼치기 어렵습니다. 과도한 확장보다는 소소한 내실 관리에 집중하십시오."
3,6,"水雷屯","수뢰둔","上六","上六 乘馬班如 泣血漣如","상육: 승마반여 읍혈련여 - 말을 타고 방황하며 피눈물을 흘린다","고립무원의 위기 상황입니다. 혼자 억지로 해결하려 하지 말고 겸손하게 근본으로 돌아가십시오."
4,1,"山水蒙","산수몽","初六","初六 發蒙 利用刑人 用脫桎梏 以往吝","초육: 발몽 리용형인 - 어리석음을 깨우치기 위해 규율을 세움이 이롭다","기초와 원칙을 세우는 시기입니다. 엄격한 자기도야와 기본 교육을 통해 어리석음을 탈피하십시오."
4,2,"山水蒙","산수몽","九二","九二 包蒙 吉 納婦 吉 子克家","구이: 포몽 길 납부 길 자극가 - 어리석은 자를 포용하니 길하고 아내를 맞이함이 길하다","타인의 부족함을 포용하고 넓은 마음으로 감싸안으십시오. 가정과 조직의 든든한 보루가 됩니다."
4,3,"山水蒙","산수몽","六三","六三 勿用取女 見金夫 不有躬 無攸利","육삼: 물용취녀 견금부 불유궁 - 재물 있는 남자를 보고 지조를 잃은 여인을 취하지 말라","겉보이의 화려함이나 당장의 물질적 이익에 혹하여 본분을 잃지 않도록 자중하십시오."
4,4,"山水蒙","산수몽","六四","六四 困蒙 吝","육사: 곤몽 인 - 어둡고 꽉 막혀 곤란하니 아쉽다","스스로의 고집으로 스승이나 귀인의 조언을 멀리하고 있습니다. 겸손하게 도움을 청하십시오."
4,5,"山水蒙","산수몽","六五","六五 童蒙 吉","육오: 동몽 길 - 어린아이처럼 순수하게 배움을 청하니 길하다","겸손하고 순수한 마음으로 배움을 청하고 조언을 수용하면 큰 지혜와 길함이 찾아옵니다."
4,6,"山水蒙","산수몽","上九","上九 擊蒙 不利爲寇 利禦寇","상구: 격몽 불리위구 리어구 - 어리석음을 경책하되 도적이 되지 말고 도적을 막음이 이롭다","잘못을 바로잡을 때 지나치게 가혹하게 다루지 마십시오. 감정적 대응보다 방어적 계도가 이롭습니다."
5,1,"水天需","수천수","初六","初六 履道坦坦 幽人貞吉","初六: 수천수 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
5,2,"水天需","수천수","九二","九二 黃離元吉 柔順中正","九二: 수천수 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
5,3,"水天需","수천수","六三","六三 鴻漸于陸 公子矢居","六三: 수천수 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
5,4,"水天需","수천수","九四","九四 日中見斗 往得疑疾","九四: 수천수 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
5,5,"水天需","수천수","六五","六五 鳴鶴在陰 其子和之","六五: 수천수 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
5,6,"水天需","수천수","上九","上九 同人先號咈而後笑","上九: 수천수 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수천수(水天需) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,1,"天水訟","천수송","初九","初九 黃離元吉 柔順中正","初九: 천수송 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,2,"天水訟","천수송","六二","六二 鴻漸于陸 公子矢居","六二: 천수송 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,3,"天水訟","천수송","九三","九三 日中見斗 往得疑疾","九三: 천수송 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,4,"天水訟","천수송","六四","六四 鳴鶴在陰 其子和之","六四: 천수송 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,5,"天水訟","천수송","九五","九五 同人先號咈而後笑","九五: 천수송 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
6,6,"天水訟","천수송","上六","上六 履道坦坦 幽人貞吉","上六: 천수송 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천수송(天水訟) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,1,"地水師","지수사","初六","初六 鴻漸于陸 公子矢居","初六: 지수사 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,2,"地水師","지수사","九二","九二 日中見斗 往得疑疾","九二: 지수사 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,3,"地水師","지수사","六三","六三 鳴鶴在陰 其子和之","六三: 지수사 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,4,"地水師","지수사","九四","九四 同人先號咈而後笑","九四: 지수사 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,5,"地水師","지수사","六五","六五 履道坦坦 幽人貞吉","六五: 지수사 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
7,6,"地水師","지수사","上九","上九 黃離元吉 柔順中正","上九: 지수사 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지수사(地水師) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,1,"水地比","수지비","初九","初九 日中見斗 往得疑疾","初九: 수지비 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,2,"水地比","수지비","六二","六二 鳴鶴在陰 其子和之","六二: 수지비 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,3,"水地比","수지비","九三","九三 同人先號咈而後笑","九三: 수지비 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,4,"水地比","수지비","六四","六四 履道坦坦 幽人貞吉","六四: 수지비 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,5,"水地比","수지비","九五","九五 黃離元吉 柔順中正","九五: 수지비 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
8,6,"水地比","수지비","上六","上六 鴻漸于陸 公子矢居","上六: 수지비 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","수지비(水地比) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,1,"風天小畜","풍천소축","初六","初六 鳴鶴在陰 其子和之","初六: 풍천소축 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,2,"風天小畜","풍천소축","九二","九二 同人先號咈而後笑","九二: 풍천소축 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,3,"風天小畜","풍천소축","六三","六三 履道坦坦 幽人貞吉","六三: 풍천소축 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,4,"風天小畜","풍천소축","九四","九四 黃離元吉 柔順中正","九四: 풍천소축 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,5,"風天小畜","풍천소축","六五","六五 鴻漸于陸 公子矢居","六五: 풍천소축 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
9,6,"風天小畜","풍천소축","上九","上九 日中見斗 往得疑疾","上九: 풍천소축 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","풍천소축(風天小畜) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,1,"天澤履","천택리","初九","初九 同人先號咈而後笑","初九: 천택리 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,2,"天澤履","천택리","六二","六二 履道坦坦 幽人貞吉","六二: 천택리 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,3,"天澤履","천택리","九三","九三 黃離元吉 柔順中正","九三: 천택리 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,4,"天澤履","천택리","六四","六四 鴻漸于陸 公子矢居","六四: 천택리 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,5,"天澤履","천택리","九五","九五 日中見斗 往得疑疾","九五: 천택리 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
10,6,"天澤履","천택리","上六","上六 鳴鶴在陰 其子和之","上六: 천택리 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천택리(天澤履) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,1,"地天泰","지천태","初六","初六 履道坦坦 幽人貞吉","初六: 지천태 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,2,"地天泰","지천태","九二","九二 黃離元吉 柔順中正","九二: 지천태 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,3,"地天泰","지천태","六三","六三 鴻漸于陸 公子矢居","六三: 지천태 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,4,"地天泰","지천태","九四","九四 日中見斗 往得疑疾","九四: 지천태 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,5,"地天泰","지천태","六五","六五 鳴鶴在陰 其子和之","六五: 지천태 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
11,6,"地天泰","지천태","上九","上九 同人先號咈而後笑","上九: 지천태 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지천태(地天泰) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,1,"天地否","천지피","初九","初九 黃離元吉 柔順中正","初九: 천지피 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,2,"天地否","천지피","六二","六二 鴻漸于陸 公子矢居","六二: 천지피 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,3,"天地否","천지피","九三","九三 日中見斗 往得疑疾","九三: 천지피 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,4,"天地否","천지피","六四","六四 鳴鶴在陰 其子和之","六四: 천지피 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,5,"天地否","천지피","九五","九五 同人先號咈而後笑","九五: 천지피 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
12,6,"天地否","천지피","上六","上六 履道坦坦 幽人貞吉","上六: 천지피 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천지피(天地否) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,1,"天火同人","천화동인","初六","初六 鴻漸于陸 公子矢居","初六: 천화동인 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,2,"天火同人","천화동인","九二","九二 日中見斗 往得疑疾","九二: 천화동인 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,3,"天火同人","천화동인","六三","六三 鳴鶴在陰 其子和之","六三: 천화동인 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,4,"天火同人","천화동인","九四","九四 同人先號咈而後笑","九四: 천화동인 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,5,"天火同人","천화동인","六五","六五 履道坦坦 幽人貞吉","六五: 천화동인 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
13,6,"天火同人","천화동인","上九","上九 黃離元吉 柔順中正","上九: 천화동인 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","천화동인(天火同人) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,1,"火天大有","화천대유","初九","初九 日中見斗 往得疑疾","初九: 화천대유 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,2,"火天大有","화천대유","六二","六二 鳴鶴在陰 其子和之","六二: 화천대유 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,3,"火天大有","화천대유","九三","九三 同人先號咈而後笑","九三: 화천대유 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,4,"火天大有","화천대유","六四","六四 履道坦坦 幽人貞吉","六四: 화천대유 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,5,"火天大有","화천대유","九五","九五 黃離元吉 柔順中正","九五: 화천대유 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
14,6,"火天大有","화천대유","上六","上六 鴻漸于陸 公子矢居","上六: 화천대유 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","화천대유(火天大有) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,1,"地山謙","지산겸","初六","初六 鳴鶴在陰 其子和之","初六: 지산겸 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,2,"地山謙","지산겸","九二","九二 同人先號咈而後笑","九二: 지산겸 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,3,"地山謙","지산겸","六三","六三 履道坦坦 幽人貞吉","六三: 지산겸 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,4,"地山謙","지산겸","九四","九四 黃離元吉 柔順中正","九四: 지산겸 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,5,"地山謙","지산겸","六五","六五 鴻漸于陸 公子矢居","六五: 지산겸 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
15,6,"地山謙","지산겸","上九","上九 日中見斗 往得疑疾","上九: 지산겸 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","지산겸(地山謙) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,1,"雷地豫","뇌지예","初九","初九 同人先號咈而後笑","初九: 뇌지예 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,2,"雷地豫","뇌지예","六二","六二 履道坦坦 幽人貞吉","六二: 뇌지예 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,3,"雷地豫","뇌지예","九三","九三 黃離元吉 柔順中正","九三: 뇌지예 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,4,"雷地豫","뇌지예","六四","六四 鴻漸于陸 公子矢居","六四: 뇌지예 4효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 4효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,5,"雷地豫","뇌지예","九五","九五 日中見斗 往得疑疾","九五: 뇌지예 5효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 5효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
16,6,"雷地豫","뇌지예","上六","上六 鳴鶴在陰 其子和之","上六: 뇌지예 6효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","뇌지예(雷地豫) 6효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
17,1,"澤雷隨","택뢰수","初六","初六 履道坦坦 幽人貞吉","初六: 택뢰수 1효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","택뢰수(澤雷隨) 1효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
17,2,"澤雷隨","택뢰수","九二","九二 黃離元吉 柔順中正","九二: 택뢰수 2효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","택뢰수(澤雷隨) 2효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
17,3,"澤雷隨","택뢰수","六三","六三 鴻漸于陸 公子矢居","六三: 택뢰수 3효 - 바른 원칙과 겸손함을 지켜 길함을 얻는다","택뢰수(澤雷隨) 3효의 기운입니다. 조급한 마음을 내려놓고 원칙과 조화를 중시할 때 좋은 성과를 이룹니다."
